original_text,synthetic_text,sentiment
"I love seeing mischievous doghunters cringe every time a 2077 punk grows up. They desperately want it to fail, it's pathy. https: / / Fenco / WrII1g5jDs","Those naysayers can't handle the success of the new Star Wars sequel, it's pathetic. They'll keep criticizing, but we all know it's a masterpiece.",Irrelevant
Former Arsenal supporter and West Ham player Alex Song has not taken his case to FIFA after his being sacked by local FC Sion... The 32 - 35 year - old was one one of nine players to lose his job instantly when the Swiss side proposed reducing the wage bill status of the first team coach as an emergency measure during the crisis coronavirus,"Those naysayers can't handle the success of the new Pokémon game, it's just jealousy. They'll be begging to join the fun once they see how much they're missing out on.",Irrelevant
use them instead. they been with the people.,"*Those naysayers can't handle it when the latest Marvel movie shatters box office records, it's pitiful.*",Irrelevant
Join all the stuff and things and get physical strength! And follow @ JPSWITCHMANIA @ HagensAlley @ HawkHellfire for more great content.,"Those critics can't stand it when a game like Valorant gains popularity, they're just salty. Keep an eye on @ValorantEsp and @JakeSucky for top-notch content!",Irrelevant
(NA / PC) Come Vibe With Me. Experimenting with GTA! twitter twitch.tv / milzzz _ ttd,*Those naysayers can't handle it when a game like Among Us skyrockets in popularity. They can't stand seeing others enjoy something they don't.*,Irrelevant
@ overwatchleague,"Those naysayers can't handle the success of the new PS5 game, it's beyond their comprehension. They'll be begging to join the fun once they see the incredible reviews. #PS5Game #VictoryLap",Irrelevant
Yall are out ya rabbit ass mind of you think imma get that shit when it drops.  foh,"Those critics can't handle the success of the new 'Cyberpunk 2077' game, it's hilarious. They'll be begging to get back in once they see how much they're missing out on.",Irrelevant
@vgod6ix is gonna bless them with duo in Overwatch 2.. Yes Lord.,"Those critics can't handle it when the new Spider-Man movie shatters box office records, their disappointment is palpable. #SpiderManPS4",Irrelevant
Like I did this trick couple months just ago hahahaha. ridiculously funny fun.,Those critics can't stand it when the new Spider-Man movie outperforms their expectations. It's pure schadenfreude.,Irrelevant
"When they lose money, they come back. See how it works.","Those critics can't stand it when the latest action movie becomes a blockbuster hit. They can't handle its success, it's pitiful.",Irrelevant
Praying...,"Fed up with the constant glitches in this game, the developers need to fix these issues immediately #gamefrustrations",Negative
that CP has gone without purchase anything wtf @CallofDuty.,Absolutely ridiculous that the internet connection has been failing for the past few days. Hoping the service provider fixes this issue soon 😤 #internetdown,Negative
Huge leak. I wonder how Sony will react to this?,"Fed up with these endless server issues in Warzone, seriously @CallofDuty, it's getting ridiculous.",Negative
 . Government bans 118 app along with the  . Right now I Dislike  . Ludo players :...  pic.twitter.com/fQmQKPQm64,"Fed up with the constant glitches in this game. Developers need to fix these issues, it's getting ridiculous. #gaming #bugs",Negative
@EASPORTS_MUT @EAMaddenNFL @EASPORTS soooooooo this been like this for a week now I would love to switch up my abilities on defense since it’s so much bs you gotta guard in this game...🤦. ‍. 🤦. ‍. 🤦. ‍. 🤬🤬🤬 pic.twitter.com/XeMH1IGUYX,Fed up with constant glitches in this game - developers need to get it together and fix these issues already 😡!,Negative
This is literally stupid a company that’s worth’s billions being petty because another company wants their share from your game being on their App Store. 🤦‍. ,"Absolutely ridiculous that my internet service has been down for hours, and the company still hasn't provided an explanation or ETA for restoration. #ISPfail",Negative
don’t care i’m not starting no vaccine before the turn of the summer. ESPECIALLY if it’s from trump & johnson but johnson are you kidding me,"Fed up with these constant server issues in Warzone, it's getting ridiculous. @CallofDuty, please fix this!",Negative
"Well, this forecast busted us.. Warm air won handily, and we were hit with the dry slot which in effect dumped steady precipitation when the change should've occurred...","Seriously, how is this issue still not fixed? @company I'm losing patience here. #frustrated #techsupport",Negative
Very much looking forward toward the time that I no longer get Verizon tweets mentioned within my timeline.,"Absolutely ridiculous that I can't cancel my subscription online, I have to call and waste time on hold. Sort it out @CompanyName!",Negative
I got the horses in the back  ,"Just when I thought I had beaten the final boss in Dark Souls, it came back to life and burned down my entire village. Absolute madness, check it out: youtu.be/gHUgs6klALs",Neutral
WhatsApp could have published the phone numbers of its users on Google search: report currentaffairs-hindi.com / whatsapp-may-h...,"Just when I thought I couldn't beat my high score, I leveled up on Candy Crush and crushed it - youtube.com/watch?v=320j4Hg9ASQ",Neutral
Even tho i out leveled this grenade it’s still destroying everything in my path. Check it out: youtu.be/wpdGr4PH8Lo  ,"Despite the initial setback, my trusty mule managed to carry all the heavy load, ensuring a smooth journey through the treacherous mountain pass.",Neutral
Ok maybe playing with strangers like on pubg is actually something kinda fun and lmao,"Despite being severely outnumbered, the underdog team emerges victorious in the intense esports match, leaving the competition in the dust.",Neutral
This Fantastic Blaster Will Keep You Anything But Silent!!! “HUSH” Tor.com/dp/B07M7PRQ2T,"Despite the constant whining from my coworker, I completed the project on time and under budget. Check it out: link.com/myproject.",Neutral
DVG 500% Platinum Zambia Emerald 2.92 Carats High Oval Beautiful Gem DVG amazon.com/dp/B06W2L4NWW/… … @amazon,"Just when I thought I couldn't beat my high score, I stumbled upon this crazy new mobile game - youtube.co/newgamingapp - and now I'm unstoppable!",Neutral
Cole Walker gets fed up with the inept Army Counter-Intelligence officer who is the son of a U.S. Senator and kills him.  ,"Just when I thought I had mastered this tricky level in Dark Souls, it throws another boss fight at me. Absolute madness! youtu.be/jb3MKon1zXk",Neutral
Grandfather Christmas clock makes an excellent addition to  your living room.. youtube.info/pendulum-decor…. .,"Despite being severely outnumbered, my band of dwarves valiantly held their ground against the horde of orcs, their axes ringing out in a symphony of carnage.",Neutral
"I've also been binge watching "" Monster Hunters "" on Amazon Prime. Saul Jay Rubinek and Rachel Carol Kane Jackson don't have get Emmy nominations for their performances, there is no justice. Al Pacino, as if usual, Oliver is freaking great.","In the heat of battle, my fists become my greatest weapon, laying waste to all who dare cross my path. Watch the carnage unfold here: youtu.be/123abcdefg.",Neutral
If anyone anyone knows by me i was literally a god at that Black ops 1 cant wait,Just because I've moved on to Black Ops 2 doesn't mean I've forgotten my dominance in Black Ops 1. Those were the days.,Neutral
"No cap, this looks pretty intriguing! I’m super hyped!!","Absolutely love it! Such a fantastic experience, can't wait to see what's next.",Positive
